"godina","vecher","pesna","mesto","poeni","cenaOblozhuvanje"
"2008","SF2",38,"2",120,58.9802955394306
"2007","SF1",71,"5",146,18.4313696401712
"2007","SF1",328,"24",17,50.9787097004407
"2007","SF1",329,"15",65,19.7456569819904
"2007","SF1",330,"4",176,10.8475911810567
"2007","SF1",331,"13",77,76.4705202569768
"2007","SF1",61,"8",123,51.209743042851
"2007","SF1",332,"22",33,513.355085265169
"2007","SF1",333,"20",40,11.6753626978359
"2007","SF1",74,"10",91,40.7050941172212
"2007","SF1",334,"21",38,302.393669186599
"2007","SF1",335,"17",49,525.280755108853
"2007","SF1",336,"19",45,48.4513784568759
"2007","SF1",337,"16",54,534.911795630671
"2007","SF1",338,"14",75,279.902332199882
"2007","SF1",67,"1",298,2.6741895301745
"2007","SF1",339,"28",1,319.735246504783
"2007","SF1",340,"11",88,479.355630696854
"2007","SF1",56,"9",97,94.752413525919
"2007","SF1",341,"18",48,126.288805938156
"2007","SF1",342,"25",15,62.5604425074198
"2007","SF1",343,"12",80,49.6810356500567
"2007","SF1",58,"2",224,55.0213966474795
"2007","SF1",344,"22",33,205.659312685617
"2007","SF1",345,"26",14,286.253209470497
"2007","SF1",57,"7",140,64.4641434812931
"2007","SF1",72,"3",197,53.7888580042388
"2007","SF1",346,"27",4,216.399140560835
"2007","SF1",64,"6",168,17.907234895789
"2006","SF1",98,"6",150,124.338228104696
"2006","SF1",347,"17",36,564.795869888829
"2006","SF1",348,"16",49,197.857660082648
"2006","SF1",349,"23",8,760.229750538959
"2006","SF1",350,"22",10,670.144416368358
"2006","SF1",351,"14",58,685.439478044739
"2006","SF1",352,"12",69,54.7528197230619
"2006","SF1",95,"9",79,48.1874353189624
"2006","SF1",353,"15",57,138.11662072944
"2006","SF1",354,"21",14,263.007870277377
"2006","SF1",85,"10",76,67.6176160915343
"2006","SF1",355,"11",70,377.519908478855
"2006","SF1",84,"3",217,17.8035178618483
"2006","SF1",97,"8",91,139.418189911386
"2006","SF1",92,"7",146,37.9502982309358
"2006","SF1",91,"1",292,2.54610578257086
"2006","SF1",356,"20",22,392.842361487912
"2006","SF1",88,"5",163,89.5420316511892
"2006","SF1",357,"19",26,753.860414042567
"2006","SF1",96,"4",214,5.16643144134188
"2006","SF1",358,"18",28,146.46071055534
"2006","SF1",87,"2",267,9.65815940450517
"2006","SF1",359,"13",62,153.180647929629
"2005","SF1",360,"21",30,286.05701318581
"2005","SF1",361,"25",17,149.429758656259
"2005","SF1",362,"17",51,561.602839074868
"2005","SF1",105,"2",207,35.2257029699584
"2005","SF1",121,"10",85,20.8571428345234
"2005","SF1",363,"24",22,544.675975479225
"2005","SF1",109,"7",158,22.7545473835426
"2005","SF1",364,"13",67,53.2033460124913
"2005","SF1",365,"14",53,66.7238799948357
"2005","SF1",366,"16",52,28.3991483991173
"2005","SF1",367,"22",29,596.664229864599
"2005","SF1",368,"20",31,96.3060209005939
"2005","SF1",103,"6",164,7.63274972194753
"2005","SF1",102,"1",235,19.3290754263969
"2005","SF1",99,"5",167,12.8444615326807
"2005","SF1",369,"18",50,177.486512996567
"2005","SF1",113,"9",97,257.786222380042
"2005","SF1",370,"23",27,548.637184115523
"2005","SF1",120,"8",114,12.5309913702437
"2005","SF1",371,"4",169,102.694530706017
"2005","SF1",372,"19",49,506.150105365537
"2005","SF1",373,"14",53,133.680393751314
"2005","SF1",374,"12",69,263.476829606357
"2005","SF1",111,"3",185,31.4897347701994
"2005","SF1",375,"11",81,319.695208565625
"2004","SF1",376,"14",51,71.8396135860202
"2004","SF1",377,"19",10,92.740323774504
"2004","SF1",378,"22",0,188.298989006132
"2004","SF1",379,"17",23,167.838833235121
"2004","SF1",380,"11",57,131.01724137931
"2004","SF1",381,"18",12,133.646846600881
"2004","SF1",382,"15",38,254.348078197482
"2004","SF1",128,"8",74,35.3271862747894
"2004","SF1",383,"19",10,154.712518195051
"2004","SF1",138,"3",238,5.23165042100468
"2004","SF1",132,"2",256,2.39528777856897
"2004","SF1",384,"16",26,189.928874405131
"2004","SF1",131,"4",167,41.9638782128273
"2004","SF1",143,"5",149,10.0153967280675
"2004","SF1",137,"10",71,221.584408062944
"2004","SF1",385,"21",5,140.432181662801
"2004","SF1",386,"11",57,105.743492873147
"2004","SF1",133,"9",72,223.454574181316
"2004","SF1",387,"13",56,28.5725696134268
"2004","SF1",127,"1",263,6.59112354290168
"2004","SF1",134,"7",133,64.1802325237929
"2004","SF1",129,"6",146,136.549381974378
